rank,exp,exp_sum,credit,credit_sum,budge
1,0,0,0,0,
2,1000,1000,24000,24000,
3,2600,3600,25000,49000,
4,4900,8500,26000,75000,
5,7800,16300,27000,102000,
6,11300,27600,28000,130000,
7,15400,43000,29000,159000,
8,20100,63100,30000,189000,
9,25500,88600,31000,220000,
10,31500,120100,32000,252000,3_14
11,38900,159000,34000,286000,
12,47700,206700,36000,322000,
13,57900,264600,38000,360000,
14,69500,334100,40000,400000,
15,82500,416600,42000,442000,
16,96900,513500,44000,486000,
17,112700,626200,46000,532000,
18,129900,756100,48000,580000,
19,148500,904600,50000,630000,
20,168500,1073100,52000,682000,2_14
21,191000,1264100,54000,736000,
22,216000,1480100,56000,792000,
23,243500,1723600,58000,850000,
24,273500,1997100,60000,910000,
25,306000,2303100,62000,972000,
26,341000,2644100,64000,1036000,
27,378500,3022600,66000,1102000,
28,418500,3441100,68000,1170000,
29,461000,3902100,70000,1240000,
30,506000,4408100,72000,1312000,1_14
31,556000,4964100,74000,1386000,
32,611000,5575100,76000,1462000,
33,671000,6246100,78000,1540000,
34,736000,6982100,80000,1620000,
35,806000,7788100,82000,1702000,
36,881000,8669100,84000,1786000,
37,961000,9630100,86000,1872000,
38,1046000,10676100,88000,1960000,
39,1136000,11812100,90000,2050000,
40,1231000,13043100,92000,2142000,M_3
41,1335500,14378600,94000,2236000,
42,1449500,15828100,96000,2332000,
43,1573000,17401100,98000,2430000,
44,1706000,19107100,100000,2530000,
45,1848500,20955600,102000,2632000,
46,2000500,22956100,104000,2736000,
47,2162000,25118100,106000,2842000,
48,2333000,27451100,108000,2950000,
49,2513500,29964600,110000,3060000,
50,2703500,32668100,112000,3172000,M_6
